IfcRelCoversBldgElements
IfcProxy
IfcObjectTypeEnum
IfcOpeningStandardCase
IfcDoorStyle
IfcDoorStyleOperationEnum
IfcMaterialList
IfcFaceBasedSurfaceModel
IfcMaterialClassificationRelationship
IfcMaterialList
IfcPresentationStyleAssignment
IfcNullStyle
IfcPresentationStyleSelect
IfcStyleAssignmentSelect
IfcBeamStandardCase
IfcColumnStandardCase
IfcDoorStandardCase
IfcMemberStandardCase
IfcPlateStandardCase
IfcRelCoversSpaces
IfcSlabElementedCase
IfcSlabStandardCase
IfcWallElementedCase
IfcWallStandardCase
IfcWindowStandardCase
IfcWindowStyle
