ApplicableEntity,RelatingObject
IfcRailing,IfcStair
IfcSlab,IfcStair
IfcStairFlight,IfcStair
IfcBeam,IfcStair
IfcMember,IfcStair
IfcRoof,IfcStair
IfcWall,IfcStair
