Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_InterceptorBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcInterceptor', 'IfcInterceptorType']","IfcInterceptor,IfcInterceptorType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_JunctionBoxBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcJunctionBox', 'IfcJunctionBoxType']","IfcJunctionBox,IfcJunctionBoxType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NumberOfGangs', 'property_type': 'IfcQuantityCount'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}]"
Qto_KerbBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcKerb', 'IfcKerbType']","IfcKerb,IfcKerbType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'Weight', 'property_type': 'IfcQuantityWeight'}]"
Qto_LaborResourceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcLaborResource', 'IfcLaborResourceType']","IfcLaborResource,IfcLaborResourceType","[{'property_name': 'StandardWork', 'property_type': 'IfcQuantityTime'}, {'property_name': 'OvertimeWork', 'property_type': 'IfcQuantityTime'}]"
Qto_LampBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcLamp', 'IfcLampType']","IfcLamp,IfcLampType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_LightFixtureBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcLightFixture', 'IfcLightFixtureType']","IfcLightFixture,IfcLightFixtureType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_LinearStratumBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcGeotechnicalStratum'],IfcGeotechnicalStratum,"[{'property_name': 'Diameter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}]"
Qto_MarineFacilityBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcMarineFacility'],IfcMarineFacility,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
Qto_MemberBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcMember', 'IfcMemberType']","IfcMember,IfcMemberType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_MotorConnectionBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcMotorConnection', 'IfcMotorConnectionType']","IfcMotorConnection,IfcMotorConnectionType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_OpeningElementBaseQuantities,QTO_TYPEDRIVENOVERRIDE,['IfcOpeningElement'],IfcOpeningElement,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
Qto_OutletBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcOutlet', 'IfcOutletType']","IfcOutlet,IfcOutletType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PavementBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPavement', 'IfcPavementType']","IfcPavement,IfcPavementType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_PictorialSignQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcSign/PICTORAL', 'IfcSignType/PICTORAL']","IfcSign/PICTORAL,IfcSignType/PICTORAL","[{'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'SignArea', 'property_type': 'IfcQuantityArea'}]"
Qto_PileBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPile', 'IfcPileType']","IfcPile,IfcPileType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PipeFittingBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcPipeFitting', 'IfcPipeFittingType']","IfcPipeFitting,IfcPipeFittingType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
