IfcRelAssignsToActor,IfcRelAssignsToControl,IfcRelAssignsToGroup,IfcRelAssignsToProcess,IfcRelAssignsToProduct,IfcRelAssignsToResource,IfcRelAssociatesApproval,IfcRelAssociatesClassification,IfcRelAssociatesConstraint,IfcRelAssociatesDocument,IfcRelAssociatesLibrary,IfcRelAssociatesMaterial,IfcRelConnectsElements,IfcRelConnectsPortToElement,IfcRelConnectsPorts,IfcRelConnectsStructuralActivity,IfcRelConnectsStructuralMember,IfcRelContainedInSpatialStructure,IfcRelCoversBldgElements,IfcRelCoversSpaces,IfcRelFillsElement,IfcRelFlowControlElements,IfcRelInterferesElements,IfcRelNests,IfcRelReferencedInSpatialStructure,IfcRelSequence,IfcRelServicesBuildings,IfcRelSpaceBoundary,IfcRelDeclares,IfcRelAggregates,IfcRelNests,IfcRelProjectsElement,IfcRelVoidsElement,IfcRelDefinesByObject,IfcRelDefinesByProperties,IfcRelDefinesByTemplate,IfcRelDefinesByType
RelatingActor,RelatingControl,RelatingGroup,RelatingProcess,RelatingProduct,RelatingResource,RelatingApproval,RelatingClassification,RelatingConstraint,RelatingDocument,RelatingLibrary,RelatingMaterial,RelatingElement,RelatingPort,RelatingPort,RelatingElement,RelatingStructuralMember,RelatingStructure,RelatingBuildingElement,RelatingSpace,RelatingOpeningElement,RelatingFlowElement,RelatingElement,RelatingObject,RelatingStructure,RelatingProcess,RelatingSystem,RelatingSpace,RelatingContext,RelatingObject,RelatingObject,RelatingElement,RelatingBuildingElement,RelatingObject,RelatingPropertyDefinition,RelatingTemplate,RelatingType
