Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_CurtainWallQuantities,QTO_OCCURRENCEDRIVEN,['IfcCurtainWall'],IfcCurtainWall,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossSideArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSideArea', 'property_type': 'IfcQuantityArea'}]"
Qto_DoorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDoor'],IfcDoor,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}]"
Qto_MemberBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcMember'],IfcMember,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PlateBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcPlate'],IfcPlate,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_RailingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcRailing'],IfcRailing,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}]"
Qto_RampFlightBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcRampFlight'],IfcRampFlight,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_RoofBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcRoof'],IfcRoof,"[{'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'ProjectedArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SlabBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSlab'],IfcSlab,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_StairFlightBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcStairFlight'],IfcStairFlight,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_WallBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcWall'],IfcWall,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossFootprintArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetFootprintArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSideArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSideArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
